Grade,Finances,Time_Available,Opportunity/Institution,Cost of program,Average Salary Outcome,Opportunity_Type,Need Based,City ,Size,Pub or Private,Industry ,link
HS,Low,2 year,Houston Community College ,5000,,CC,Yes,"Houston,TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/houston-community-college-system/tuition-and-costs
HS,Low,2 year,Collin County Community College District,5000,,CC,Yes,"McKinney, TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/collin-county-community-college-district
HS,Low,2 year,Tarrant County College,6000,,CC,Yes,"Fort Worth, TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/tarrant-county-college
HS,Low,2 year,Tarleton State University,15000,,4Y,Yes,"Stephenville, TX",Large,Public,,https://bigfuture.collegeboard.org/colleges/tarleton-state-university
HS,Low,2 year,Texas Christian University,38000,,4Y,Yes,"Fort Worth, TX",Large,Private,,https://bigfuture.collegeboard.org/colleges/texas-christian-university
HS,Low,4 Years,Texas Women's University ,10000,,4Y,Yes,"Denton, TX",Medium ,Public ,,
HS,Low,4 Years,Texas Wesleyan University,22000,,4Y,Yes,"Fort Worth, TX",Small,Private,,
HS,Low,4 Years,The University of North Texas at Dallas,8000,,4Y,Yes,"Dallas, TX",Small,Public ,,
HS,Low,4 Years,The University of Texas at Arlington,16000,,4Y,Yes,"Arlington, TX",Large,Public ,,
HS,Low,<1 Year,Tarrant County College Horticulture Certificate,3000,28000,Certificate,No,"Fort Worth, TX",Large,Public,Science,
HS,Low,<1 Year,"Tarrant County College Architectural 
Technology Certificate",3500,47000,Certificate,No,"Fort Worth, TX",Large,Public,Science,
HS,Low,<1 Year,Tarrant County College Computer Aided Drafting Certificate,7000,39000,Certificate,,"Fort Worth, TX",Large,Public,Engineering,
HS,Low,<1 Year,Tarrant County College Contstruction Managment Technology,4000,40000,Certificate,,"Fort Worth, TX",Large,Public,Engineering,
HS,Low,<1 Year,"Tarrant County College Heating, Air Conditioning and Refrigeration  Certificate",3500,49000,Certificate,,"Fort Worth, TX",Large,Public,Art,
HS,Low,<1 Year,Tarrant County College Graphic Communication Certificate,2000,44000,Certificate,,,,,,
HS,Low,<1 Year,Tarrant County College Graphic Communication Certificate,,,,,,,,,
HS,Low,<1 Year,,,,,,,,,,
